,3461
Date,2021-11-11 18:00:00
Open,108.6
High,108.7
Low,107.7
Close,107.7
Volume,144.151
Quote_Volume,15612.7777
sumpv,15295.2852
sumv,141.492
vwap,141.42
index,3462.0
mean,144.75749663007883
psum,501150.4533333329
dev,34.60793593330534
v1,4145271.6435201983
varince,1197.7092295637672
sd1_pos,158.72396796665265
sd1_neg,124.11603203334732
sd2_pos,176.02793593330534
sd2_neg,106.81206406669465
sd3_pos,193.331903899958
sd3_neg,89.50809610004197
sd4_pos,210.63587186661067
sd4_neg,72.2041281333893
sd5_pos,227.93983983326333
sd5_neg,54.90016016673664
sd6_pos,245.243807799916
sd6_neg,37.59619220008396
sd7_pos,262.5477757665687
sd7_neg,20.292224233431284
sd8_pos,279.8517437332214
sd8_neg,2.9882562667786203
hlc3,108.10000000000001
