,3461
Date,2021-11-11 18:00:00
Open,3.496
High,3.503
Low,3.489
Close,3.495
Volume,11117.0
Quote_Volume,38868.8837
sumpv,38876.0724
sumv,11113.8
vwap,4.39
index,3462.0
mean,3.7595269593683867
psum,13015.482333333355
dev,1.4252188556037715
v1,7030.152049621461
varince,2.031248786368524
sd1_pos,5.102609427801886
sd1_neg,3.6773905721981137
sd2_pos,5.815218855603771
sd2_neg,2.964781144396228
sd3_pos,6.527828283405657
sd3_neg,2.2521717165943427
sd4_pos,7.240437711207543
sd4_neg,1.5395622887924567
sd5_pos,7.953047139009429
sd5_neg,0.8269528609905707
sd6_pos,8.665656566811315
sd6_neg,0.11434343318868567
sd7_pos,9.3782659946132
sd7_neg,-0.5982659946132003
sd8_pos,10.090875422415085
sd8_neg,-1.3108754224150863
hlc3,3.4979999999999998
