,id,symbol,type,interval,amount,startDate,endDate,buy,sell,growth/drop,drop_count,total,closed,buy_zscore,sell_zscore
0,dd4c014f-4a62-11ec-8e4e-f4d1080d95a2,WAXPUSDT,zscore,5M,500,2021-11-21 00:35:00,2021-11-22 00:30:00,0.8625,0.84070000,0.02379535990481594,3,0.8625,True,-3.8976321151372066,3.3279617188373014
1,a0ab836d-4a73-11ec-a149-f4d1080d95a2,BCHUSDT,zscore,5M,500,2021-11-21 02:35:00,2021-11-21 11:00:00,575.8,576.40000000,0.1042028482111884,1,575.8,True,-3.1750305242876937,2.075837717906612
2,6cf219b3-4aa2-11ec-9600-f4d1080d95a2,LRCUSDT,zscore,5M,500,2021-11-21 08:10:00,2021-11-21 16:10:00,2.47,2.51050000,1.6396761133603137,1,2.47,True,-3.035618428413681,2.0299585294506786
3,d7687846-4aa3-11ec-9993-f4d1080d95a2,XTZUSDT,zscore,5M,500,2021-11-21 08:20:00,2021-11-21 16:15:00,5.396,5.42000000,0.44477390659748,1,5.396,True,-3.0305827276075985,2.0027280598337516
4,1421b156-4ab8-11ec-973f-f4d1080d95a2,ETHUSDT,zscore,5M,500,2021-11-21 10:45:00,2021-11-21 15:25:00,4308.22,4351.84000000,1.012483113675715,1,4308.22,True,-3.3153478546440787,2.1045210245141313
5,1485683b-4ab8-11ec-b2e9-f4d1080d95a2,SHIBUSDT,zscore,5M,500,2021-11-21 10:45:00,2021-11-21 12:15:00,4.534e-05,0.00004632,2.1614468460520375,1,4.534e-05,True,-3.1050206367764015,2.058802854884025
6,14e981ab-4ab8-11ec-a26c-f4d1080d95a2,VETUSDT,zscore,5M,500,2021-11-21 10:45:00,2021-11-21 15:25:00,0.1326,0.13572000,2.352941176470597,1,0.1326,True,-3.0508705679298944,2.000909046806748
7,1559156e-4ab8-11ec-a58c-f4d1080d95a2,FTMUSDT,zscore,5M,500,2021-11-21 10:45:00,2021-11-21 15:40:00,2.0274,2.06360000,1.7855381276511793,1,2.0274,True,-3.3117796542577635,2.3093188450081623
8,17f0f2fb-4ab8-11ec-970e-f4d1080d95a2,AXSUSDT,zscore,5M,500,2021-11-21 10:45:00,2021-11-21 14:30:00,128.28,130.28000000,1.5590894917368257,1,128.28,True,-3.1611953922901312,2.4454938765359056
9,188acdc9-4ab8-11ec-83a4-f4d1080d95a2,COMPUSDT,zscore,5M,500,2021-11-21 10:45:00,2021-11-21 14:25:00,304.3,308.10000000,1.2487676634899807,1,304.3,True,-3.1810849380716957,2.0200785007055235
