,id,symbol,type,interval,amount,startDate,endDate,buy,sell,growth/drop,drop_count,total,closed,buy_zscore,sell_zscore
0,63a59d9c-4a5f-11ec-91ea-f4d1080d95a2,FLOWUSDT,rsi,5M,500,2021-11-21 00:10:00,2021-11-21 07:35:00,13.1,13.10000000,0.0,1,13.1,True,28.810907846693354,70.10572855224301
1,c4e9440f-4a60-11ec-976e-f4d1080d95a2,AVAXUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 03:10:00,124.43,129.58000000,4.138873262075067,1,124.43,True,27.64351909285567,70.07274938032765
2,c54e025b-4a60-11ec-bd5a-f4d1080d95a2,QTUMUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 02:15:00,15.071,15.33700000,1.7649790989317233,1,15.071,True,25.950870610946055,70.11010204724951
3,c5d7e156-4a60-11ec-9e75-f4d1080d95a2,BANDUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 15:55:00,7.776,7.70200000,0.6205500032660451,2,7.776,True,26.692404669819368,70.09169634572461
4,c665dd6d-4a60-11ec-ad65-f4d1080d95a2,ZENUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 02:55:00,94.23,96.20000000,2.0906293112596823,1,94.23,True,26.789576491835263,70.00514747423836
5,c6ac7a0d-4a60-11ec-9f41-f4d1080d95a2,WAXPUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 16:30:00,0.8822,0.8001,-6.943475226796926,3,0.8822,True,29.73494585782184,25.949607942123322
6,c73b5ffc-4a60-11ec-9cb0-f4d1080d95a2,TFUELUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 14:30:00,0.324,0.32540000,0.4320987654321025,1,0.324,True,28.24772875387812,70.27114081044138
7,c988faf5-4a60-11ec-8392-f4d1080d95a2,1INCHUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 09:25:00,3.957,3.96100000,0.10108668182966904,1,3.957,True,29.806081459118772,70.148598290223
8,caac5fac-4a60-11ec-8810-f4d1080d95a2,RSRUSDT,rsi,5M,500,2021-11-21 00:20:00,2021-11-21 06:30:00,0.03651,0.03652000,0.027389756231158923,1,0.03651,True,29.59882847157421,77.88608819794857
9,77fdeb00-4a61-11ec-92be-f4d1080d95a2,AAVEUSDT,rsi,5M,500,2021-11-21 00:25:00,2021-11-21 16:05:00,271.4,271.40000000,0.0,1,271.4,True,29.426240119917594,73.5353516867622
