,id,symbol,type,interval,amount,startDate,endDate,buy,sell,growth/drop,drop_count,total,closed,buy_zscore,sell_zscore
0,74ac30cc-47b1-11ec-a187-f4d1080d95a2,STRAXUSDT,zscore,5m,500,2021-11-17 14:20:00,2021-11-17 23:25:00,2.218,2.185,0.13748854262145344,2,2.218,False,-2.514924157309263,2.041360296259174
1,3f1d19ad-47b4-11ec-89f0-f4d1080d95a2,LRCUSDT,zscore,5m,500,2021-11-17 14:40:00,2021-11-18 00:25:00,2.6265,2.5372,-0.9022380189821466,3,2.6265,False,-2.6215925765458596,0.7690677618827273
2,577cc2b8-47b6-11ec-ae96-f4d1080d95a2,AXSUSDT,zscore,5m,500,2021-11-17 14:55:00,2021-11-18 00:25:00,134.68,135.43,0.5568755568755569,1,134.68,False,-2.913337306069616,1.68484940459791
3,5815b3e0-47b6-11ec-b5c5-f4d1080d95a2,CRVUSDT,zscore,5m,500,2021-11-17 14:55:00,2021-11-17 23:25:00,3.821,4.015,5.077204920177951,1,3.821,False,-2.8188420730815893,2.5278913205884774
4,58af67c8-47b6-11ec-bdc2-f4d1080d95a2,BATUSDT,zscore,5m,500,2021-11-17 14:55:00,2021-11-18 00:25:00,1.0597,1.0799,1.9061998678871372,1,1.0597,False,-2.6534605271444454,2.5430467429079133
5,70ae5124-47b8-11ec-ada0-f4d1080d95a2,ANKRUSDT,zscore,5m,500,2021-11-17 15:10:00,2021-11-17 23:50:00,0.1284,0.13203,2.8271028037383354,1,0.1284,False,-2.5109294745340542,2.5523607729222353
6,273edc05-47b9-11ec-bf6c-f4d1080d95a2,XEMUSDT,zscore,5m,500,2021-11-17 15:15:00,2021-11-18 00:25:00,0.1862,0.1906,2.3630504833512282,1,0.1862,False,-2.634134712138894,-0.35963909449386045
7,be818910-47e3-11ec-8b3f-f4d1080d95a2,CKBUSDT,zscore,5m,500,2021-11-17 20:20:00,2021-11-18 00:25:00,0.02453,0.02467,0.5707297187117866,1,0.02453,False,-2.509441313110458,0.7049233149801326
8,c217faf0-47e3-11ec-95a6-f4d1080d95a2,NEOUSDT,zscore,5m,500,2021-11-17 20:20:00,2021-11-17 23:45:00,42.5,43.18,1.5999999999999994,1,42.5,False,-2.5116284980559165,2.1935424468513807
9,85e83191-47ed-11ec-89d3-f4d1080d95a2,OCEANUSDT,zscore,5m,500,2021-11-17 21:30:00,2021-11-18 00:25:00,0.8448,0.8588,1.6571969696969713,1,0.8448,False,-2.765873027645866,1.1662588482347773
10,2423890f-47fa-11ec-8790-f4d1080d95a2,FLOWUSDT,zscore,5m,500,2021-11-17 23:00:00,2021-11-18 00:25:00,12.51,12.52,0.07993605115907104,1,12.51,False,-2.6687248939684958,-1.1840317300882823
