,id,symbol,type,interval,amount,startDate,endDate,buy,sell,growth/drop,closed,high,low,Volume,RSI,sell_zscore
0,e20293f0-8215-11ec-b9a6-f4d1080d95a2,GTOUSDT,rsi,15m,500,2022-01-30 21:45:00,2022-01-30 21:45:00,0.03677,0.03582,-2.583627957574108,True,0.0374,0.03582,27321953.6,77.03811448089256,0.0
1,e3e5b183-8215-11ec-8037-f4d1080d95a2,TCTUSDT,rsi,15m,500,2022-01-30 21:45:00,2022-01-30 21:45:00,0.02129,0.02096,-1.5500234852043233,True,0.02129,0.02096,47573344.0,73.55572936408349,0.0
2,ec252f90-8215-11ec-9f01-f4d1080d95a2,ANTUSDT,rsi,15m,500,2022-01-30 21:45:00,2022-01-30 22:00:00,6.756,6.911,2.2942569567791495,True,6.911,6.737,37907.6,53.17459410491137,0.0
3,1661f24f-821a-11ec-bb24-f4d1080d95a2,PERPUSDT,rsi,15m,500,2022-01-30 22:15:00,2022-01-30 23:00:00,6.25,6.38,2.0799999999999983,True,6.38,6.23,5058.91,54.48707898712514,0.0
4,2a15da9d-821c-11ec-85d1-f4d1080d95a2,TROYUSDT,rsi,15m,500,2022-01-30 22:30:00,2022-01-30 22:30:00,0.006663,0.006812,2.236229926459563,True,0.006812,0.006663,140380615.0,83.47577889558889,0.0
5,2b51b614-821c-11ec-a223-f4d1080d95a2,BURGERUSDT,rsi,15m,500,2022-01-30 22:30:00,2022-01-30 22:30:00,1.786,1.741,-2.519596864501676,True,1.786,1.741,422829.6,70.58444368154491,0.0
6,36854b48-821c-11ec-9548-f4d1080d95a2,ALPACAUSDT,rsi,15m,500,2022-01-30 22:30:00,2022-01-31 00:00:00,0.3603,0.3597,-0.16652789342214527,True,0.3637,0.3578,44865.2,56.27487320651304,0.0
7,43157328-821e-11ec-b22d-f4d1080d95a2,KEYUSDT,rsi,15m,500,2022-01-30 22:45:00,2022-01-30 22:45:00,0.007267,0.007419,2.0916471721480696,True,0.007419,0.007267,91393842.0,79.19612958424054,0.0
8,5c52ea5f-8220-11ec-8ed6-f4d1080d95a2,ANKRUSDT,rsi,15m,500,2022-01-30 23:00:00,2022-01-30 23:15:00,0.07691,0.0785,2.067351449746449,True,0.0785,0.07641,2518711.1,64.92134426573652,0.0
9,5dc588cd-8220-11ec-abe2-f4d1080d95a2,CAKEUSDT,rsi,15m,500,2022-01-30 23:00:00,2022-01-31 00:30:00,7.39,7.35,-0.5412719891745607,True,7.46,7.32,19387.51,51.46868550559485,0.0
