,id,symbol,startDate,DIFF,SDIFF,endDate,buy,rate,closed
0,9f6c86eb-d157-11ec-9f4b-3c2c30d32cbe,DOTUSDT,2022-05-11 18:24:41.449,533912.1967000002,361224.45170001965,2022-05-11 23:59:59.384,9.17,-0.872410032715377,False
1,8e32bcaf-d15c-11ec-b43d-3c2c30d32cbe,BNBUSDT,2022-05-11 19:00:00.172,1549064.5399000198,1426430.9667998403,2022-05-11 23:59:59.847,276.3,-1.7372421281216108,False
2,8e7f44e5-d15c-11ec-b845-3c2c30d32cbe,EGLDUSDT,2022-05-11 19:00:00.504,539750.6883000018,237234.1561999973,2022-05-11 23:59:59.241,86.53,-1.6063792904195084,False
3,f0a16ae9-d164-11ec-97c1-3c2c30d32cbe,OGNUSDT,2022-05-11 20:00:01.322,1087176.4447000006,1087176.4447000006,2022-05-11 20:00:49.001,0.2063,2.37518177411536,True
4,f17c68d3-d164-11ec-9eb2-3c2c30d32cbe,COCOSUSDT,2022-05-11 20:00:02.760,501509.5964999993,501509.5964999993,2022-05-11 20:45:35.311,0.7038,2.046035805626594,True
5,b3563482-d175-11ec-8e95-3c2c30d32cbe,ETHUSDT,2022-05-11 22:00:00.000,9193560.221761048,3531906.9737030566,2022-05-11 23:59:59.794,2097.35,-0.5893150880873544,False
6,b3ad7f25-d175-11ec-a229-3c2c30d32cbe,ZILUSDT,2022-05-11 22:00:00.282,528855.1585860075,373833.5182489967,2022-05-11 23:59:58.822,0.05354,-0.14942099364960168,False
7,b3f9b0a5-d175-11ec-b32c-3c2c30d32cbe,RUNEUSDT,2022-05-11 22:00:00.466,672177.6170740006,672177.6170740006,2022-05-11 22:02:01.768,3.136,2.136479591836726,True
8,b43d4ff0-d175-11ec-88e8-3c2c30d32cbe,GALAUSDT,2022-05-11 22:00:00.490,510636.9183099924,510636.9183099924,2022-05-11 22:08:00.875,0.06536,2.065483476132197,True
9,1565bd0c-d17e-11ec-ba22-3c2c30d32cbe,SOLUSDT,2022-05-11 23:00:00.537,1211697.9343000632,1211697.9343000632,2022-05-11 23:04:30.262,47.78,2.0301381331100856,True
10,15b735c1-d17e-11ec-963f-3c2c30d32cbe,FTMUSDT,2022-05-11 23:00:00.564,864494.0091999811,864494.0091999811,2022-05-11 23:02:39.150,0.3088,2.0401554404144986,True
11,15ff7f96-d17e-11ec-a21e-3c2c30d32cbe,ADAUSDT,2022-05-11 23:00:00.565,628242.4670199566,628242.4670199566,2022-05-11 23:59:59.692,0.519,-0.057803468208086115,False
12,16426d09-d17e-11ec-bd50-3c2c30d32cbe,NEARUSDT,2022-05-11 23:00:00.593,896761.0141999898,896761.0141999898,2022-05-11 23:59:59.845,6.488,0.3082614056720033,False
13,16953965-d17e-11ec-90db-3c2c30d32cbe,LINKUSDT,2022-05-11 23:00:01.028,573085.4136999953,573085.4136999953,2022-05-11 23:59:59.203,6.99,-0.5722460658082981,False
14,16dc932f-d17e-11ec-8544-3c2c30d32cbe,ZECUSDT,2022-05-11 23:00:01.041,558997.1448000002,558997.1448000002,2022-05-11 23:08:14.513,84.1,2.021403091557673,True
